Date,ATK,Cases,Cases Area Prison,Cases Imported,Case Proactive,Cases Walkin,Deaths,Hospitalized,Hospitalized Field,Hospitalized Field HICI,Hospitalized Field Hiospitel,Hospitalized Field Other,Hospitalized Hospital,Hospitalized Respirator,Hospitalized Severe,Positive Rate Dash,Recovered,Source Cases,Tests,Vac Given 1 Cum,Vac Given 2 Cum,Vac Given 3 Cum
1/10/2020,,0,,,,0,0,,,,,,,,,,,,,,,
1/11/2020,,0,,,,0,0,,,,,,,,,,,,,,,
1/12/2020,,0,,,,0,0,,,,,,,,,,,,,,,
1/13/2020,,1,,,,1,0,,,,,,,,,,,,,,,
1/14/2020,,0,,,,0,0,,,,,,,,,,,,,,,
1/15/2020,,0,,,,0,0,,,,,,,,,,,,,,,
1/16/2020,,0,,,,0,0,,,,,,,,,,,,,,,
1/17/2020,,1,,,,1,0,,,,,,,,,,,,,,,
1/18/2020,,0,,,,0,0,,,,,,,,,,,,,,,
1/19/2020,,0,,,,0,0,,,,,,,,,,,,,,,
1/20/2020,,0,,,,0,0,,,,,,,,,,,,,,,
1/21/2020,,0,,,,0,0,,,,,,,,,,,,,,,
1/22/2020,,2,,,,2,0,,,,,,,,,,,,,,,
1/23/2020,,0,,,,0,0,,,,,,,,,,,,,,,
1/24/2020,,0,,,,0,0,,,,,,,,,,,,,,,
1/25/2020,,0,,,,0,0,,,,,,,,,,,,,,,
1/26/2020,,4,,,,4,0,,,,,,,,,,,,,,,
1/27/2020,,0,,,,0,0,,,,,,,,,,,,,,,
1/28/2020,,6,,,,6,0,,,,,,,,,,,,,,,
1/29/2020,,0,,,,0,0,,,,,,,,,,,,,,,
1/30/2020,,0,,,,0,0,,,,,,,,,,,,,,,
1/31/2020,,5,,,,5,0,,,,,,,,,,,,,,,
2/1/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/2/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/3/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/4/2020,,6,,,,6,0,,,,,,,,,,,,,,,
2/5/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/6/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/7/2020,,7,,,,7,0,,,,,,,,,,,,,,,
2/8/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/9/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/10/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/11/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/12/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/13/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/14/2020,,1,,,,1,0,,,,,,,,,,,,,,,
2/15/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/16/2020,,2,,,,2,0,,,,,,,,,,,,,,,
2/17/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/18/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/19/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/20/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/21/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/22/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/23/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/24/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/25/2020,,2,,,,2,0,,,,,,,,,,,,,,,
2/26/2020,,3,,,,3,0,,,,,,,,,,,,,,,
2/27/2020,,0,,,,0,0,,,,,,,,,,,,,,,
2/28/2020,,1,,,,1,0,,,,,,,,,,,,,,,
2/29/2020,,1,,,,1,0,,,,,,,,,,,,,,,
3/1/2020,,1,,,,1,0,,,,,,,,,,,,,,,
3/2/2020,,0,,,,0,1,,,,,,,,,,,,,,,
3/3/2020,,0,,,,0,0,,,,,,,,,,,,,,,
3/4/2020,,0,,,,0,0,,,,,,,,,,,,,,,
3/5/2020,,5,,,,5,0,,,,,,,,,,,,,,,
3/6/2020,,1,,,,1,0,,,,,,,,,,,,,,,
3/7/2020,,2,,,,2,0,,,,,,,,,,,,,,,
3/8/2020,,0,,,,0,0,,,,,,,,,,,,,,,
3/9/2020,,0,,,,0,0,,,,,,,,,,,,,,,
3/10/2020,,3,,,,3,0,,,,,,,,,,,,,,,
3/11/2020,,6,,,,6,0,,,,,,,,,,,,,,,
3/12/2020,,11,,,,11,0,,,,,,,,,,,,,,,
3/13/2020,,5,,,,5,0,,,,,,,,,,,,,,,
3/14/2020,,7,,,,7,0,,,,,,,,,,,,,,,
3/15/2020,,32,,,,32,0,,,,,,,,,,,,,,,
3/16/2020,,33,,,,33,0,,,,,,,,,,,,,,,
3/17/2020,,30,,,,30,0,,,,,,,,,,,,,,,
3/18/2020,,35,,,,35,0,,,,,,,,,,,,,,,
3/19/2020,,60,,,,60,0,,,,,,,,,,,,,,,
3/20/2020,,50,,,,50,0,,,,,,,,,,,,,,,
3/21/2020,,89,,,,89,0,,,,,,,,,,,,,,,
3/22/2020,,188,,,,188,0,,,,,,,,,,,,,,,
3/23/2020,,122,,,,122,0,,,,,,,,,,,,,,,
3/24/2020,,106,,,,106,3,,,,,,,,,,,,,,,
3/25/2020,,107,,,,107,0,,,,,,,,,,,,,,,
3/26/2020,,111,,,,111,0,,,,,,,,,,,,,,,
3/27/2020,,91,,,,91,1,,,,,,,,,,,,,,,
3/28/2020,,108,,,,108,1,,,,,,,,,,,,,,,
3/29/2020,,143,,,,143,1,,,,,,,,,,,,,,,
3/30/2020,,136,,,,136,2,,,,,,,,,,,,,,,
3/31/2020,,127,,,,127,1,,,,,,,,,,,,,,,
4/1/2020,,120,,,,120,2,,,,,,,,,,,,,,,
4/2/2020,,104,,,,104,3,,,,,,,,,,,,,,,
4/3/2020,,103,,,,103,4,,,,,,,,,,,,,,,
4/4/2020,,89,,,,89,1,,,,,,,,,,,,,,,
4/5/2020,,102,,,,102,3,,,,,,,,,,,,,,,
4/6/2020,,51,,,,51,3,,,,,,,,,,,,,,,
4/7/2020,,38,,,,38,1,,,,,,,,,,,,,,,
4/8/2020,,111,,,,111,3,,,,,,,,,,,,,,,
4/9/2020,,54,,,,54,2,,,,,,,,,,,,,,,
4/10/2020,,50,,,,50,1,,,,,,,,,,,,,,,
4/11/2020,,45,,,,45,2,,,,,,,,,,,,,,,
4/12/2020,,33,,,,33,3,,,,,,,,,,,,,,,
4/13/2020,,28,,,,28,2,,,,,,,,,,,,,,,
4/14/2020,,34,,,,34,1,,,,,,,,,,,,,,,
4/15/2020,,30,,,,30,2,,,,,,,,,,,,,,,
4/16/2020,,29,,,,29,3,,,,,,,,,,,,,,,
4/17/2020,,28,,,,28,1,,,,,,,,,,,,,,,
4/18/2020,,32,,,,32,0,,,,,,,,,,,,,,,
4/19/2020,,32,,,,32,0,,,,,,,,,,,,,,,
4/20/2020,,27,,,,27,0,,,,,,,,,,,,,,,
4/21/2020,,19,,,,19,1,,,,,,,,,,,,,,,
